                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6252,                 2.5139,                 1.4058,                0.40659,                0.34857,                0.32133,                0.13978,                 1.9454,                 1.6254,                 1.0336,               0.070004,              0.0033329,              0.0033329
                      1,                 2.4981,                 1.8536,                 1.3122,                 0.4764,                0.44756,                0.41693,                0.17586,                  1.945,                 1.3806,                 1.0271,               0.039564,              0.0062262,              0.0062262
                      2,                 2.4561,                 1.7237,                 1.2808,                0.57076,                0.45622,                0.47103,                0.21132,                 1.8774,                 1.6943,                  1.006,              0.0086841,              0.0086796,              0.0086796
                      3,                  2.425,                 1.6533,                 1.2543,                0.59032,                0.52764,                0.51837,                0.24592,                  1.834,                 1.3024,                0.98093,                0.00802,                0.00802,                0.00802
                      4,                 2.3766,                 1.5768,                 1.2274,                 0.6456,                0.54489,                0.57318,                0.28614,                 1.7473,                 1.1282,                0.95976,                0.00802,                0.00802,                0.00802
                      5,                 2.3318,                 1.5998,                 1.2479,                0.64087,                0.54214,                 0.5639,                0.27383,                 1.7839,                 1.1284,                0.96482,                0.00736,                0.00736,                0.00736
                      6,                  2.293,                 1.5454,                 1.2289,                 0.6189,                0.54239,                0.56393,                 0.2832,                 1.7752,                  1.108,                0.95818,                 0.0067,                 0.0067,                 0.0067
                      7,                 2.2585,                 1.4909,                 1.2121,                0.68338,                0.54021,                0.59024,                0.29021,                 1.7708,                 1.1148,                0.95545,                0.00604,                0.00604,                0.00604
                      8,                 2.2088,                  1.415,                 1.1909,                0.70157,                0.57043,                0.61713,                0.29665,                 1.7843,                 1.0574,                0.95804,                0.00538,                0.00538,                0.00538
                      9,                 2.1713,                 1.3576,                 1.1778,                0.68974,                0.58722,                0.62307,                0.30177,                 1.7789,                 1.0092,                0.95479,                0.00472,                0.00472,                0.00472
                     10,                 2.1272,                 1.3133,                 1.1604,                0.71375,                0.60108,                0.63553,                0.30261,                 1.7703,                 1.0518,                  0.948,                0.00406,                0.00406,                0.00406
                     11,                 2.0916,                 1.2697,                 1.1469,                0.72694,                0.60411,                0.64899,                0.30631,                  1.773,                 1.0224,                 0.9475,                 0.0034,                 0.0034,                 0.0034
                     12,                 2.0594,                 1.2379,                 1.1346,                0.71332,                0.62178,                0.66048,                 0.3053,                 1.7989,                0.98353,                0.95067,                0.00274,                0.00274,                0.00274
                     13,                 2.0246,                 1.2107,                 1.1233,                0.72377,                0.62538,                0.65515,                0.29534,                 1.8521,                 1.0132,                0.95983,                0.00208,                0.00208,                0.00208
                     14,                 1.9971,                 1.1799,                 1.1144,                0.73349,                 0.6167,                0.65793,                0.29847,                 1.8512,                 1.0484,                 0.9608,                0.00142,                0.00142,                0.00142
