                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   2.17,                 1.3048,                  1.141,                 0.7247,                 0.6012,                0.63887,                0.29033,                 1.8514,                 1.1983,                0.96132,               0.070004,              0.0033329,              0.0033329
                      1,                 2.1579,                 1.2882,                 1.1355,                0.72428,                 0.5972,                 0.6457,                0.28869,                 1.8633,                 1.0103,                0.96717,               0.039564,              0.0062262,              0.0062262
                      2,                 2.1719,                 1.3037,                 1.1404,                0.69252,                0.59906,                0.63277,                0.28918,                  1.827,                 1.2187,                0.95996,              0.0086841,              0.0086796,              0.0086796
                      3,                 2.1846,                 1.3237,                 1.1455,                0.70455,                0.60571,                0.64668,                0.28176,                 1.9217,                 1.0443,                0.97993,                0.00802,                0.00802,                0.00802
                      4,                 2.1642,                 1.2994,                 1.1372,                0.69303,                  0.605,                0.64885,                  0.317,                 1.7788,                0.99639,                0.94749,                0.00802,                0.00802,                0.00802
                      5,                 2.1219,                 1.3044,                 1.1573,                  0.716,                0.56721,                0.62122,                0.28713,                 1.8215,                 1.0382,                0.95616,                0.00736,                0.00736,                0.00736
                      6,                 2.0861,                 1.2708,                 1.1438,                0.68217,                0.58841,                0.61007,                0.27633,                  1.871,                 1.0226,                 0.9671,                 0.0067,                 0.0067,                 0.0067
                      7,                 2.0624,                 1.2517,                 1.1345,                0.69279,                0.58758,                0.61896,                 0.2759,                 1.8942,                 1.0622,                0.97064,                0.00604,                0.00604,                0.00604
                      8,                  2.031,                 1.2157,                 1.1226,                0.69952,                0.60304,                0.64238,                0.28737,                  1.905,                0.96427,                 0.9751,                0.00538,                0.00538,                0.00538
                      9,                 2.0122,                 1.1855,                  1.118,                0.71675,                0.61977,                0.65722,                0.28548,                 1.9252,                 1.0007,                0.97849,                0.00472,                0.00472,                0.00472
                     10,                 1.9846,                  1.161,                 1.1076,                0.72629,                0.63605,                0.66608,                0.29865,                 1.8748,                0.93167,                0.96428,                0.00406,                0.00406,                0.00406
                     11,                 1.9616,                 1.1373,                 1.0997,                0.73607,                0.63501,                0.66227,                0.29319,                 1.9081,                0.94983,                0.96948,                 0.0034,                 0.0034,                 0.0034
                     12,                 1.9391,                 1.1174,                 1.0915,                0.72025,                0.62985,                0.65479,                0.28438,                 1.9425,                 0.9371,                0.97569,                0.00274,                0.00274,                0.00274
                     13,                  1.914,                 1.0973,                 1.0842,                0.74959,                0.63484,                0.67033,                0.29512,                 1.9595,                0.93156,                0.97995,                0.00208,                0.00208,                0.00208
                     14,                 1.8897,                 1.0735,                 1.0767,                0.76044,                 0.6342,                0.67818,                0.30265,                 1.9119,                0.90246,                0.96907,                0.00142,                0.00142,                0.00142
